sample,date,time,tank_side,of_start,of_end,no_start,no_end,fps,adj_top,adj_right,bound_left,bound_right,bound_top,bound_bottom,no_video_length,bgsub_of_q1,bgsub_of_q2,bgsub_of_q3,bgsub_of_q4,bgsub_no_q1,bgsub_no_q2,bgsub_no_q3,bgsub_no_q4,intensity_floor_of_q1,intensity_floor_of_q2,intensity_floor_of_q3,intensity_floor_of_q4,intensity_floor_no_q1,intensity_floor_no_q2,intensity_floor_no_q3,intensity_floor_no_q4,intensity_ceiling_of_q1,intensity_ceiling_of_q2,intensity_ceiling_of_q3,intensity_ceiling_of_q4,intensity_ceiling_no_q1,intensity_ceiling_no_q2,intensity_ceiling_no_q3,intensity_ceiling_no_q4,area_floor_of_q1,area_floor_of_q2,area_floor_of_q3,area_floor_of_q4,area_floor_no_q1,area_floor_no_q2,area_floor_no_q3,area_floor_no_q4,area_ceiling_of_q1,area_ceiling_of_q2,area_ceiling_of_q3,area_ceiling_of_q4,area_ceiling_no_q1,area_ceiling_no_q2,area_ceiling_no_q3,area_ceiling_no_q4,cab_coords_of_q1,cab_coords_of_q2,cab_coords_of_q3,cab_coords_of_q4,cab_coords_no_q1,cab_coords_no_q2,cab_coords_no_q3,cab_coords_no_q4
20220201_1000_L,20220201,1000,L,1538,18938,20172,37572,29,-5,1,28,24,15,27,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Top,Right,Bottom,Left,Left,Top,Right
20220201_1013_R,20220201,1013,R,1621,19021,20330,37730,29,-4,-2,13,15,18,22,,True,True,True,True,False,False,True,True,0,0,0,0,0,0,0,0,130,130,130,130,169,169,130,130,10,10,10,10,80,80,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Left,Top,Right,Left,Top,Bottom
20220202_0951_L,20220202,0951,L,1599,18999,20328,37728,29,3,-4,28,26,22,19,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Left,Left,Right,Left,Bottom,Right
20220202_1001_R,20220202,1001,R,1489,18889,20313,37713,29,-2,-1,13,15,18,22,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Bottom,Bottom,Left,Right,Top,Top,Right
20220203_1348_L,20220203,1348,L,2040,19440,20946,38346,29,-5,-3,28,24,15,27,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Left,Left,Bottom,Bottom,Right,Bottom
20220203_1350_R,20220203,1350,R,1803,19203,20689,38089,29,-4,-2,13,15,18,22,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Right,Right,Top,Right,Bottom,Left,Right
20220204_1414_L,20220204,1414,L,2199,19599,21068,38468,29,-7,4,31,24,15,29,,True,True,True,True,False,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,165,130,130,130,10,10,10,10,70,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Right,Bottom,Bottom,Bottom,Top,Bottom
20220204_1416_R,20220204,1416,R,1813,19213,20619,38019,29,-3,-2,13,15,18,22,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Top,Top,Top,Bottom,Right,Left,Left
20220207_1418_L,20220207,1418,L,1702,19102,20386,37786,29,-5,7,30,22,15,30,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Bottom,Right,Right,Bottom,Top,Bottom
20220207_1420_R,20220207,1420,R,2078,19478,20828,38228,29,3,-2,13,15,20,18,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,155,10,10,10,10,10,10,10,30,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Bottom,Top,Top,Bottom,Right,Right,Right
20220208_0918_L,20220208,0918,L,1714,19114,20547,37947,29,-5,5,30,24,15,30,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Right,Top,Right,Right,Right,Bottom,Top
20220208_0920_R,20220208,0920,R,1723,19123,20527,37927,29,-2,-3,15,14,18,21,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Right,Top,Top,Left,Right,Top,Right
20220214_1411_L,20220214,1411,L,1712,19112,20608,38008,29,-6,4,28,26,15,30,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Right,Top,Right,Top,Left,Bottom,Top
20220214_1424_R,20220214,1424,R,1809,19209,20597,37997,29,-4,0,13,15,18,22,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Top,Right,Bottom,Top,Right,Top,Bottom
20220215_1353_L,20220215,1353,L,1865,19265,20543,37943,29,-11,1,24,24,10,28,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Bottom,Bottom,Top,Left,Top,Left,Left
20220215_1355_R,20220215,1355,R,1684,19084,20512,37912,29,-2,-2,13,15,18,22,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Bottom,Bottom,Bottom,Top,Left,Left
20220216_1338_L,20220216,1338,L,1552,18952,20251,37651,29,-6,4,31,22,15,28,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,120,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Right,Left,Left,Left,Top,Right
20220216_1340_R,20220216,1340,R,1541,18941,20234,37634,29,-4,-3,13,15,17,22,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Bottom,Right,Bottom,Bottom,Left,Left,Left
20220228_1437_L,20220228,1437,L,1520,18920,20137,37537,29,-7,11,32,21,14,29,,True,True,True,True,False,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,169,130,130,120,10,10,10,10,80,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Left,Bottom,Left,Left,Bottom,Left
20220228_1439_R,20220228,1439,R,1552,18952,20314,37714,29,-2,0,15,16,17,23,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Left,Left,Left,Left,Bottom,Left
20220301_1348_L,20220301,1348,L,1612,19012,20553,37953,29,-4,4,31,22,15,28,,True,True,True,True,True,True,False,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,145,130,10,10,10,10,10,10,30,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Bottom,Right,Bottom,Bottom,Left,Right
20220301_1350_R,20220301,1350,R,1698,19098,20466,37866,29,1,-2,15,15,21,19,,True,True,True,True,True,False,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,169,130,130,10,10,10,10,10,80,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Bottom,Left,Top,Right,Top,Top,Left
20220303_1342_L,20220303,1342,L,1458,18858,20187,37587,29,-6,1,29,23,15,30,,True,True,True,True,True,False,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,170,130,130,10,10,10,10,10,30,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Bottom,Left,Top,Left,Bottom,Top,Right
20220303_1344_R,20220303,1344,R,1567,18967,20238,37638,29,1,0,15,15,17,22,,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Right,Top,Right,Right,Top,Top,Right
