sample,assay,total_seconds,success_count,frame_count,prop_success
20220201_1013_R_q1,novel_object,600,14527,17400,0.8348850574712644
20220203_1350_R_q4,novel_object,600,15590,17400,0.8959770114942529
20220303_1344_R_q1,novel_object,600,15742,17400,0.904712643678161
20220216_1340_R_q1,novel_object,600,15765,17400,0.9060344827586206
20220303_1342_L_q1,novel_object,600,15823,17400,0.909367816091954
20220303_1342_L_q4,novel_object,600,16751,17400,0.9627011494252874
20220216_1338_L_q4,novel_object,600,16968,17400,0.9751724137931035
20220204_1416_R_q1,novel_object,600,17087,17400,0.9820114942528736
20220215_1355_R_q3,novel_object,600,17092,17400,0.9822988505747127
20220215_1355_R_q2,novel_object,600,17191,17400,0.9879885057471265
20220301_1350_R_q3,novel_object,600,17286,17400,0.993448275862069
20220203_1348_L_q2,novel_object,600,17336,17400,0.9963218390804598
20220203_1350_R_q1,novel_object,600,17338,17400,0.9964367816091954
20220301_1350_R_q1,novel_object,600,17338,17400,0.9964367816091954
20220203_1350_R_q4,open_field,600,17342,17400,0.9966666666666667
20220215_1355_R_q4,novel_object,600,17364,17400,0.9979310344827587
20220203_1348_L_q3,novel_object,600,17365,17400,0.9979885057471264
20220203_1350_R_q3,novel_object,600,17368,17400,0.9981609195402299
20220203_1348_L_q4,novel_object,600,17369,17400,0.9982183908045977
20220215_1355_R_q4,open_field,600,17371,17400,0.9983333333333333
20220215_1355_R_q2,open_field,600,17373,17400,0.998448275862069
20220204_1416_R_q3,novel_object,600,17380,17400,0.9988505747126437
20220215_1353_L_q3,open_field,600,17383,17400,0.9990229885057471
20220204_1414_L_q4,novel_object,600,17389,17400,0.999367816091954
20220207_1418_L_q3,novel_object,600,17391,17400,0.9994827586206897
20220203_1348_L_q3,open_field,600,17392,17400,0.9995402298850574
20220202_0951_L_q1,open_field,600,17393,17400,0.9995977011494253
20220216_1340_R_q3,novel_object,600,17393,17400,0.9995977011494253
20220201_1000_L_q2,novel_object,600,17394,17400,0.9996551724137931
20220228_1439_R_q3,novel_object,600,17394,17400,0.9996551724137931
20220207_1418_L_q4,open_field,600,17396,17400,0.9997701149425288
20220216_1338_L_q4,open_field,600,17396,17400,0.9997701149425288
20220203_1348_L_q2,open_field,600,17397,17400,0.9998275862068966
20220214_1424_R_q3,open_field,600,17397,17400,0.9998275862068966
20220201_1000_L_q1,open_field,600,17400,17400,1
20220201_1000_L_q2,open_field,600,17400,17400,1
20220201_1000_L_q3,open_field,600,17400,17400,1
20220201_1000_L_q4,open_field,600,17400,17400,1
20220201_1000_L_q1,novel_object,600,17400,17400,1
20220201_1000_L_q3,novel_object,600,17400,17400,1
20220201_1000_L_q4,novel_object,600,17400,17400,1
20220201_1013_R_q1,open_field,600,17400,17400,1
20220201_1013_R_q2,open_field,600,17400,17400,1
20220201_1013_R_q3,open_field,600,17400,17400,1
20220201_1013_R_q4,open_field,600,17400,17400,1
20220201_1013_R_q3,novel_object,600,17400,17400,1
20220201_1013_R_q4,novel_object,600,17400,17400,1
20220202_0951_L_q2,open_field,600,17400,17400,1
20220202_0951_L_q3,open_field,600,17400,17400,1
20220202_0951_L_q4,open_field,600,17400,17400,1
20220202_0951_L_q1,novel_object,600,17400,17400,1
20220202_0951_L_q2,novel_object,600,17400,17400,1
20220202_0951_L_q3,novel_object,600,17400,17400,1
20220202_0951_L_q4,novel_object,600,17400,17400,1
20220202_1001_R_q1,open_field,600,17400,17400,1
20220202_1001_R_q2,open_field,600,17400,17400,1
20220202_1001_R_q3,open_field,600,17400,17400,1
20220202_1001_R_q4,open_field,600,17400,17400,1
20220202_1001_R_q1,novel_object,600,17400,17400,1
20220202_1001_R_q2,novel_object,600,17400,17400,1
20220202_1001_R_q3,novel_object,600,17400,17400,1
20220202_1001_R_q4,novel_object,600,17400,17400,1
20220203_1348_L_q1,open_field,600,17400,17400,1
20220203_1348_L_q4,open_field,600,17400,17400,1
20220203_1348_L_q1,novel_object,600,17400,17400,1
20220203_1350_R_q1,open_field,600,17400,17400,1
20220203_1350_R_q2,open_field,600,17400,17400,1
20220203_1350_R_q3,open_field,600,17400,17400,1
20220203_1350_R_q2,novel_object,600,17400,17400,1
20220204_1414_L_q1,open_field,600,17400,17400,1
20220204_1414_L_q2,open_field,600,17400,17400,1
20220204_1414_L_q3,open_field,600,17400,17400,1
20220204_1414_L_q4,open_field,600,17400,17400,1
20220204_1414_L_q2,novel_object,600,17400,17400,1
20220204_1414_L_q3,novel_object,600,17400,17400,1
20220204_1416_R_q1,open_field,600,17400,17400,1
20220204_1416_R_q2,open_field,600,17400,17400,1
20220204_1416_R_q3,open_field,600,17400,17400,1
20220204_1416_R_q4,open_field,600,17400,17400,1
20220204_1416_R_q2,novel_object,600,17400,17400,1
20220204_1416_R_q4,novel_object,600,17400,17400,1
20220207_1418_L_q1,open_field,600,17400,17400,1
20220207_1418_L_q2,open_field,600,17400,17400,1
20220207_1418_L_q3,open_field,600,17400,17400,1
20220207_1418_L_q1,novel_object,600,17400,17400,1
20220207_1418_L_q2,novel_object,600,17400,17400,1
20220207_1418_L_q4,novel_object,600,17400,17400,1
20220207_1420_R_q1,open_field,600,17400,17400,1
20220207_1420_R_q2,open_field,600,17400,17400,1
20220207_1420_R_q3,open_field,600,17400,17400,1
20220207_1420_R_q4,open_field,600,17400,17400,1
20220207_1420_R_q1,novel_object,600,17400,17400,1
20220207_1420_R_q2,novel_object,600,17400,17400,1
20220207_1420_R_q3,novel_object,600,17400,17400,1
20220208_0918_L_q1,open_field,600,17400,17400,1
20220208_0918_L_q2,open_field,600,17400,17400,1
20220208_0918_L_q3,open_field,600,17400,17400,1
20220208_0918_L_q4,open_field,600,17400,17400,1
20220208_0918_L_q1,novel_object,600,17400,17400,1
20220208_0918_L_q2,novel_object,600,17400,17400,1
20220208_0918_L_q3,novel_object,600,17400,17400,1
20220208_0918_L_q4,novel_object,600,17400,17400,1
20220208_0920_R_q1,open_field,600,17400,17400,1
20220208_0920_R_q2,open_field,600,17400,17400,1
20220208_0920_R_q3,open_field,600,17400,17400,1
20220208_0920_R_q4,open_field,600,17400,17400,1
20220208_0920_R_q1,novel_object,600,17400,17400,1
20220208_0920_R_q2,novel_object,600,17400,17400,1
20220208_0920_R_q3,novel_object,600,17400,17400,1
